Data de Emissão;Data de Lançamento;Fornecedor;Descrição Material;Qtde.;Unidade;Preço Unitário (R$);Acréscimo (R$);Desconto (R$);Total (R$);Grupo do Material
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Abobrinha italiana;5,00;KG    ;4,50;0,00;0,00;22,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Abobrinha italiana;8,00;KG    ;4,50;0,00;0,00;36,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Aneto / dill;2,00;UN    ;2,25;0,00;0,00;4,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Manjericao;1,00;MC    ;2,75;0,00;0,00;2,75;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Ovo Branco Extra;1,00;CX    ;145,00;0,00;0,00;145,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Batata baroa;10,00;KG    ;8,75;0,00;0,00;87,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Beterraba;3,00;KG    ;4,50;0,00;0,00;13,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;2,00;KG    ;4,50;0,00;0,00;9,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;8,00;KG    ;4,50;0,00;0,00;36,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Tomate salada;7,00;KG    ;8,75;0,00;0,00;61,25;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Manga;7,00;KG    ;7,00;0,00;0,00;49,00;Hortifruti
01/01/2024;03/01/2024;REZENDE E KONCIKOSKI COMERCIO ATACADISTA;Lagarto redondo;25,16;KG    ;25,30;0,00;0,00;636,55;Proteinas
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Mamao Formosa;2,00;UN    ;11,00;0,00;0,00;22,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Uva verde thompson;2,00;CX    ;19,50;0,00;0,00;39,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Melao Amarelo ;2,00;KG    ;15,00;0,00;0,00;30,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Melao Amarelo ;2,00;KG    ;15,00;0,00;0,00;30,00;Hortifruti
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Geleia Frutas vermel;5,00;UN    ;37,95;0,00;0,00;189,75;Secos
02/01/2024;03/01/2024;CDI BARRA PRODUTOS IMP E EXP LTDA;Geleia Damasco;4,00;UN    ;47,90;0,00;0,00;191,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Leite Int Elege;10,00;CX    ;41,40;0,00;0,00;414,00;Laticinos
02/01/2024;04/01/2024;C.R.C DISTRIBUIDORA DE BEBIDAS E ALIMENT;Baer Mate;8,00;CX    ;33,96;0,00;0,00;271,64;Aguas e Chas
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Banana prata;2,00;DZ    ;8,99;0,00;0,00;17,98;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Mamao papaya ;5,00;KG    ;6,00;0,00;0,00;30,00;Hortifruti
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Maionese producao;4,00;UN    ;31,90;0,00;0,00;127,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Granola crocante pro;1,00;UN    ;7,67;0,00;0,00;7,67;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Requeijao elege trad;1,00;CX    ;144,43;0,00;0,00;144,43;Laticinos
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Laranja ;4,00;SC    ;51,00;0,00;0,00;204,00;Hortifruti
02/01/2024;04/01/2024;LATICINIOS MADRE DE DEUS DE MINAS LTDA;Q MINAS PAD MADRE DE;8,70;KG    ;50,70;0,00;0,00;441,09;Embalados
02/01/2024;04/01/2024;LATICINIOS MADRE DE DEUS DE MINAS LTDA;Q MINAS FRES MADRE D;12,90;KG    ;41,80;0,00;0,00;539,22;Embalados
02/01/2024;03/01/2024;Coca cola;Energe Monster 473ml;6,00;CX    ;7,35;0,26;0,00;44,10;Refrigerantes
02/01/2024;03/01/2024;CASA DOS QUEIJOS;manteiga c/sal blc;10,00;UN    ;41,85;0,00;0,00;418,50;Refrigerados
02/01/2024;05/01/2024;FESTPAN ALIMENTOS IMP E EXP LTDA;Antimofo p/ paes;1,00;CX    ;37,60;0,00;0,00;37,60;Secos
02/01/2024;03/01/2024;IGUARIAS ARTESANAIS INDUSTRIA E COMERCIO;pate de figado de av;10,00;UN    ;14,58;0,00;0,00;145,80;Hotisserie
02/01/2024;03/01/2024;IGUARIAS ARTESANAIS INDUSTRIA E COMERCIO;pate de figado com p;10,00;UN    ;14,58;0,00;0,00;145,80;Embalados
02/01/2024;03/01/2024;Coca cola;Coca Cola Lata;120,00;FD    ;3,03;2,42;0,00;363,94;Refrigerantes
02/01/2024;03/01/2024;Coca cola;Coca Cola Lata;120,00;FD    ;3,04;2,42;0,00;364,97;Refrigerantes
